Unnamed: 0,Empresa,Retorno anual,Nombre,Sector,Industria
292,MCD,0.1417070855037725,McDonald's,Consumer Discretionary,Restaurants
293,MCHP,0.2561437192928322,Microchip Technology,Information Technology,Semiconductors
294,MCK,0.1343527573115888,McKesson,Health Care,Health Care Distributors
295,MCO,0.2240495421849284,Moody's Corporation,Financials,Financial Exchanges & Data
296,MDLZ,0.1081627817750947,Mondelez International,Consumer Staples,Packaged Foods & Meats
297,MDT,0.0865595611478138,Medtronic,Health Care,Health Care Equipment
298,MET,0.1774399356242668,MetLife,Financials,Life & Health Insurance
299,META,0.2692474706108305,Meta Platforms,Communication Services,Interactive Media & Services
300,MGM,0.2459294706277197,MGM Resorts,Consumer Discretionary,Casinos & Gaming
301,MHK,0.1176148420028775,Mohawk Industries,Consumer Discretionary,Home Furnishings
302,MKC,0.1432483506962274,McCormick & Company,Consumer Staples,Packaged Foods & Meats
303,MKTX,0.3209514744012154,MarketAxess,Financials,Financial Exchanges & Data
304,MLM,0.1542857181254349,Martin Marietta Materials,Materials,Construction Materials
305,MMC,0.1395225330769953,Marsh McLennan,Financials,Insurance Brokers
306,MMM,0.1017561732794611,3M,Industrials,Industrial Conglomerates
307,MNST,0.4702138471867192,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
308,MO,0.1542903012656693,Altria,Consumer Staples,Tobacco
309,MOH,0.2762697603992898,Molina Healthcare,Health Care,Managed Health Care
310,MOS,0.1674359436351296,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals
311,MPC,0.319070494121096,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing
312,MPWR,0.3853415795453188,Monolithic Power Systems,Information Technology,Semiconductors
313,MRK,0.0921338228552672,Merck & Co.,Health Care,Pharmaceuticals
314,MRNA,1.2067673182002427,Moderna,Health Care,Biotechnology
315,MRO,0.1752221288283459,Marathon Oil,Energy,Oil & Gas Exploration & Production
316,MS,0.1896404069945154,Morgan Stanley,Financials,Investment Banking & Brokerage
317,MSCI,0.3118196960854615,MSCI,Financials,Financial Exchanges & Data
318,MSFT,0.1660282641462018,Microsoft,Information Technology,Systems Software
319,MSI,0.1562042292466432,Motorola Solutions,Information Technology,Communications Equipment
320,MTB,0.1165476092346033,M&T Bank,Financials,Regional Banks
321,MTCH,0.2063066338096923,Match Group,Communication Services,Interactive Media & Services
322,MTD,0.2371071657571883,Mettler Toledo,Health Care,Life Sciences Tools & Services
323,MU,0.2218161804573746,Micron Technology,Information Technology,Semiconductors
